,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1350,CHEMBL30920,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NC[C@@H](C)SCC,active,743.9400000000003,2.742600000000004,4.0,8.0,9.09151498112135
1351,CHEMBL30755,c1ccc(OCCCCOc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)cc1,active,481.63600000000025,6.740100000000007,1.0,4.0,6.657577319177793
1352,CHEMBL31997,COc1ccc(CO[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)cc1,inactive,331.84299999999996,4.010900000000003,1.0,3.0,2.9208187539523753
1353,CHEMBL285454,O=C(OCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1,active,481.5920000000001,5.737900000000006,1.0,5.0,7.585026652029182
1354,CHEMBL286580,c1ccc(COCCCOc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)nc1,active,482.62400000000025,5.882800000000006,1.0,5.0,6.6777807052660805
1355,CHEMBL436895,CC(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,inactive,1262.4389999999999,2.697500000000014,9.0,14.0,4.0
1356,CHEMBL262208,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,intermediate,1234.4289999999999,3.185800000000012,10.0,12.0,5.301029995663981
1357,CHEMBL316921,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](CN[C@H](C(N)=O)C(C)C)CC(C)C,active,853.0379999999998,1.5263000000000069,7.0,10.0,7.6777807052660805
1358,CHEMBL31479,COc1ccc(CO[C@H]2CNCC[C@@H]2c2ccc(Cl)cc2)cc1,inactive,331.84299999999996,4.010900000000003,1.0,3.0,4.585026652029182
1359,CHEMBL31679,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)OCC,active,670.7760000000004,2.0479000000000016,3.0,8.0,9.397940008672037
1360,CHEMBL282756,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NC[C@@H](C)SCC,active,745.9560000000004,2.534400000000004,5.0,8.0,9.494850021680094
1361,CHEMBL31621,COC(=O)[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,772.8689999999999,-0.4698999999999902,4.0,11.0,9.102372908709558
1362,CHEMBL286147,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,718.8430000000002,1.8084000000000033,4.0,8.0,10.0
1363,CHEMBL217629,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,inactive,949.0819999999999,1.8362000000000094,7.0,10.0,4.0
1364,CHEMBL420276,CC(=O)N[C@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,inactive,901.0379999999999,1.2495000000000083,7.0,10.0,4.0
1365,CHEMBL28311,O=C(N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1,active,796.939,0.1147000000000098,6.0,10.0,8.528708288941061
1366,CHEMBL31252,O=C(OCc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1,active,451.5660000000001,5.859100000000005,1.0,4.0,7.259637310505756
1367,CHEMBL289898,COc1cccc(C(=O)OCc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)c1,active,481.59200000000016,5.8677000000000055,1.0,5.0,7.060480747381382
1368,CHEMBL283683,c1ccc(COCCOc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)cc1,active,467.60900000000015,6.097700000000006,1.0,4.0,7.275724130399211
1369,CHEMBL31587,c1ccc(CCOCCOc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)cc1,active,481.63600000000025,6.140200000000006,1.0,4.0,6.795880017344075
1370,CHEMBL286951,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1cccnc1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,740.8930000000001,2.7024000000000026,5.0,8.0,9.657577319177793
1371,CHEMBL317280,CC[C@H](C)[C@H](NC(=O)CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(C)=O)C(N)=O,active,897.0909999999997,1.6823000000000108,9.0,9.0,8.795880017344075
1372,CHEMBL320414,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC(C)C)C(O)C[C@H](C(N)=O)C(C)C,active,868.0489999999999,1.935300000000006,7.0,10.0,9.508638306165727
1373,CHEMBL31201,O=C(CNC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,716.8490000000002,-0.21969999999999268,5.0,9.0,7.910094888560602
1374,CHEMBL31956,CCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,770.9409999999999,1.5473000000000057,4.0,9.0,9.455931955649724
1375,CHEMBL28702,O=C(CNC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,714.8330000000002,-0.011499999999993404,4.0,9.0,9.602059991327963
1376,CHEMBL287637,O=C(CCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1,active,479.6200000000001,6.544000000000007,1.0,4.0,6.657577319177793
1377,CHEMBL31420,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCNCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,755.9300000000001,0.2980000000000076,6.0,9.0,9.244125144327509
1378,CHEMBL262385,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,705.844,3.2913000000000032,4.0,8.0,8.449771646944907
1379,CHEMBL281531,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCc1ccccn1,active,746.8780000000003,2.238700000000004,4.0,8.0,9.638272163982407
1380,CHEMBL284254,CCCO[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,774.929,0.5330000000000066,5.0,10.0,9.356547323513812
1381,CHEMBL285778,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,707.86,3.0831000000000026,5.0,8.0,7.718966632752273
1382,CHEMBL263739,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,active,1262.4389999999999,2.697500000000014,9.0,14.0,6.301029995663981
1383,CHEMBL2370339,CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,inactive,1165.3219999999997,2.7065000000000117,9.0,13.0,4.0
1384,CHEMBL1790136,C[C@H](O)[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,760.9020000000002,-0.4702999999999915,6.0,10.0,9.086186147616283
1385,CHEMBL280818,CC(=O)[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,756.8700000000001,-0.053899999999993176,4.0,10.0,8.931814138253838
1386,CHEMBL329982,CCC(C)[C@H](NC(=O)CC(O)C(CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C=O)C(N)=O,active,696.8499999999999,0.08340000000001002,7.0,8.0,7.508638306165727
1387,CHEMBL286733,O=S(=O)(NCc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1,inactive,486.63700000000017,4.980600000000004,2.0,4.0,4.3979400086720375
1388,CHEMBL287139,c1ccc(OCCCOCc2ccc([C@H]3CCNC[C@@H]3OCc3ccc4ccccc4c3)cc2)cc1,active,481.6360000000002,6.487800000000006,1.0,4.0,6.267606240177032
1389,CHEMBL280543,C=CC[C@H](NC(=O)[C@H](Cc1ccc(OC)cc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,786.9399999999999,0.733600000000006,5.0,10.0,8.823908740944319
1390,CHEMBL32046,C=CC[C@H](NC(=O)[C@@H](NS(=O)(=O)N1CCOCC1)C(O)c1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1,active,772.9129999999998,0.2159000000000073,6.0,10.0,7.009661145212399
1391,CHEMBL415839,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(N)=O)C(C)C,intermediate,1048.2149999999997,1.977000000000011,8.0,11.0,5.6777807052660805
1392,CHEMBL442264,c1cncc(-c2noc(COc3ccc([C@H]4CCNC[C@@H]4OCc4ccc5ccccc5c4)cc3)n2)c1,active,492.57900000000024,5.526100000000005,1.0,7.0,6.055517327849832
1393,CHEMBL262107,O=C(N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1,active,794.923,0.3229000000000095,5.0,10.0,9.045757490560675
1394,CHEMBL31910,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCc1ccccn1,active,748.8940000000003,2.0305000000000044,5.0,8.0,9.67778070526608
1395,CHEMBL29323,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCc1cccnc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1,active,738.8770000000001,2.910600000000003,4.0,8.0,9.638272163982407
1396,CHEMBL437516,CC(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1cn(C=O)c2ccccc12)C(N)=O)C(C)C,inactive,1222.3739999999998,1.822700000000015,10.0,14.0,4.0
1397,CHEMBL330412,CC[C@H](C)[C@H](NC(=O)CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1cn(C=O)c2ccccc12)NC(C)=O)C(N)=O,active,925.1009999999997,1.1940000000000115,8.0,11.0,7.853871964321762
1398,CHEMBL283237,O=C(OCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1cccnc1,active,482.5800000000001,5.132900000000005,1.0,6.0,6.236572006437063
1399,CHEMBL413256,COc1ccc(COC2CNCCC2c2ccc(Cl)cc2)cc1,inactive,331.84299999999996,4.010900000000003,1.0,3.0,4.301029995663981
1400,CHEMBL293320,CC[C@H](C)[C@H](NC(=O)C[C@@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,active,762.953,3.097200000000006,7.0,9.0,6.481486060122113
1401,CHEMBL55193,CC[C@H](C)[C@H](NC(=O)C[C@@H](N)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,active,761.9689999999999,3.063600000000008,7.0,9.0,6.318758762624412
1402,CHEMBL54656,CC[C@H](C)[C@H](NC(=O)C(F)(F)[C@@H](N)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,intermediate,797.949,3.308800000000007,7.0,9.0,5.552841968657781
1403,CHEMBL54992,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,active,761.9689999999999,3.063600000000008,7.0,9.0,7.823908740944319
1404,CHEMBL54766,CC[C@H](C)[C@H](NC(=O)C(F)(F)[C@H](N)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1,active,797.949,3.308800000000007,7.0,9.0,6.468521082957745
1405,CHEMBL93724,CCCCNS(=O)(=O)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,inactive,583.7920000000005,3.224000000000001,5.0,7.0,4.2839966563652006
1406,CHEMBL142942,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCN1CCOCC1)Cc1ccccc1,active,713.9859999999996,3.433100000000005,4.0,9.0,8.387216143280265
1407,CHEMBL141848,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N(C)CCn1ccnc1)Cc1ccccc1,active,694.9429999999999,3.997600000000003,4.0,9.0,8.886056647693163
1408,CHEMBL92179,CCCCNS(=O)(=O)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NS(=O)(=O)CCc1ccccc1,inactive,641.8570000000002,1.3794000000000033,6.0,8.0,3.853871964321762
1409,CHEMBL143790,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)NCCc1ccccn1)Cc1ccccc1,active,691.939,4.3964000000000025,5.0,8.0,7.431798275933005
1410,CHEMBL335810,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@H](Cc1ccccc1)CS(=O)(=O)N(C)CCc1ccccn1,active,742.0209999999998,4.151700000000003,4.0,9.0,8.744727494896694
1411,CHEMBL3350015,CCOC(NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)NC[C@@H](C)CC,active,667.8910000000001,6.317400000000006,4.0,5.0,6.0
1412,CHEMBL94252,CCCCNS(=O)(=O)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NCCCC(C)C,inactive,420.66000000000037,2.7925000000000004,4.0,5.0,3.167491087293764
1413,CHEMBL93587,CCCCNS(=O)(=O)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCc1c[nH]cn1,inactive,458.62500000000034,1.2388000000000008,5.0,6.0,3.0
